quote,author
The future belongs to those who believe in the beauty of their dreams.,Eleanor Roosevelt
Hardships often prepare ordinary people for an extraordinary destiny.,C.S. Lewis
What lies behind us and what lies before us are tiny matters compared to what lies within us.,Ralph Waldo Emerson
Don't watch the clock; do what it does. Keep going.,Sam Levenson
"Whether you think you can or you think you can’t, you’re right.",Henry Ford
"Everything has beauty, but not everyone sees it.",Confucius
You miss 100% of the shots you don’t take.,Wayne Gretzky
It always seems impossible until it’s done.,Nelson Mandela
Turn your wounds into wisdom.,Oprah Winfrey
A person who never made a mistake never tried anything new.,Albert Einstein
The only way to do great work is to love what you do.,Steve Jobs
Happiness is not something ready-made. It comes from your own actions.,Dalai Lama
The secret of getting ahead is getting started.,Mark Twain
Dream big and dare to fail.,Norman Vaughan
Success usually comes to those who are too busy to be looking for it.,Henry David Thoreau
Courage is grace under pressure.,Ernest Hemingway
Believe in yourself and all that you are.,Christian D. Larson
"It’s not whether you get knocked down, it’s whether you get up.",Vince Lombardi
Light tomorrow with today.,Elizabeth Barrett Browning
You are never too old to set another goal or to dream a new dream.,C.S. Lewis
The only limit to our realization of tomorrow is our doubts of today.,Franklin D. Roosevelt
In the middle of every difficulty lies opportunity.,Albert Einstein
"Success is not final, failure is not fatal: It is the courage to continue that counts.",Winston Churchill
"Do not go where the path may lead, go instead where there is no path and leave a trail.",Ralph Waldo Emerson
The best way to predict the future is to invent it.,Alan Kay
Life is 10% what happens to us and 90% how we react to it.,Charles R. Swindoll
Act as if what you do makes a difference. It does.,William James
Believe you can and you're halfway there.,Theodore Roosevelt
Keep your face always toward the sunshine—and shadows will fall behind you.,Walt Whitman
Everything you’ve ever wanted is on the other side of fear.,George Addair

